School Name,State Name [Public School] Latest available year,School Name [Public School] 2023-24,County Name [Public School] 2023-24,Location ZIP [Public School] 2023-24,School Type [Public School] 2023-24,Charter School [Public School] 2023-24,Latitude [Public School] 2023-24,Longitude [Public School] 2023-24,School Level (SY 2017-18 onward) [Public School] 2023-24,Lowest Grade Offered [Public School] 2023-24,Highest Grade Offered [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Direct Certification [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Grades 1-8 Students [Public School] 2023-24,Grades 9-12 Students [Public School] 2023-24,Prekindergarten Students [Public School] 2023-24,Kindergarten Students [Public School] 2023-24,Male Students [Public School] 2023-24,Female Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24,source_file
ANDERSON ELEMENTARY SCHOOL,Georgia,Anderson Elementary School,Clayton County,30288,1-Regular school,2-No,33.6406,-84.3334,Elementary,Prekindergarten,5th Grade,479.0,429,184,0,429,390,†,27,62,243.0,236.0,1.0,0.0,200.0,259.0,10.0,1.0,8.0,479.0,14.97,ELSI_NCES_GA_school_data.csv
ASA HILLIARD ELEMENTARY SCHOOL,Georgia,Asa Hilliard Elementary School,Fulton County,30344,1-Regular school,2-No,33.664771,-84.478752,Elementary,Prekindergarten,5th Grade,432.0,432,194,0,432,325,†,41,66,230.0,202.0,1.0,2.0,48.0,367.0,3.0,0.0,11.0,432.0,10.83,ELSI_NCES_GA_school_data.csv
ASHFORD PARK ELEMENTARY SCHOOL,Georgia,Ashford Park Elementary School,DeKalb County,30319,1-Regular school,2-No,33.87434,-84.322021,Elementary,Prekindergarten,5th Grade,725.0,108,35,8,116,547,†,22,156,360.0,365.0,2.0,55.0,77.0,91.0,435.0,0.0,65.0,725.0,14.89,ELSI_NCES_GA_school_data.csv
ATLANTA CLASSICAL ACADEMY,GEORGIA,Atlanta Classical Academy,Fulton County,30305,1-Regular school,1-Yes,33.84378,-84.407711,Other,Kindergarten,12th Grade,681.0,96,42,19,115,468,159,†,54,341.0,340.0,1.0,9.0,52.0,110.0,462.0,1.0,46.0,681.0,11.48,ELSI_NCES_GA_school_data.csv
ATLANTA HEIGHTS CHARTER SCHOOL,Georgia,Atlanta Heights Charter School,Fulton County,30331,1-Regular school,1-Yes,33.762973,-84.513714,Elementary,Kindergarten,8th Grade,765.0,762,454,0,762,670,†,†,95,368.0,397.0,1.0,0.0,35.0,676.0,0.0,0.0,53.0,765.0,25.25,ELSI_NCES_GA_school_data.csv
ATLANTA NEIGHBORHOOD CHARTER - ELEMENTARY,Georgia,Atlanta Neighborhood Charter - Elementary,Fulton County,30315,1-Regular school,1-Yes,33.7357,-84.3761,Elementary,Kindergarten,5th Grade,394.0,45,20,10,55,330,†,†,64,201.0,193.0,0.0,3.0,18.0,74.0,258.0,1.0,40.0,394.0,11.76,ELSI_NCES_GA_school_data.csv
ATLANTA NEIGHBORHOOD CHARTER - MIDDLE,Georgia,Atlanta Neighborhood Charter - Middle,Fulton County,30316,1-Regular school,1-Yes,33.732522,-84.355146,Middle,6th Grade,8th Grade,234.0,30,12,11,41,234,†,†,†,127.0,107.0,0.0,4.0,12.0,48.0,147.0,0.0,23.0,234.0,11.58,ELSI_NCES_GA_school_data.csv
ATLANTA SMART ACADEMY,GEORGIA,Atlanta SMART Academy,Fulton County,30311,1-Regular school,1-Yes,33.752756,-84.474272,Middle,5th Grade,8th Grade,213.0,188,88,0,188,213,†,†,†,103.0,110.0,0.0,0.0,3.0,200.0,1.0,0.0,9.0,213.0,11.51,ELSI_NCES_GA_school_data.csv
ATLANTA UNBOUND ACADEMY,GEORGIA,Atlanta Unbound Academy,Fulton County,30337,1-Regular school,1-Yes,33.660719,-84.445933,Elementary,Kindergarten,8th Grade,190.0,169,79,0,169,166,†,†,24,90.0,100.0,0.0,0.0,3.0,184.0,2.0,0.0,1.0,190.0,12.67,ELSI_NCES_GA_school_data.csv
AVONDALE ELEMENTARY SCHOOL,Georgia,Avondale Elementary School,DeKalb County,30002,1-Regular school,2-No,33.773871,-84.261955,Elementary,Prekindergarten,5th Grade,456.0,446,160,0,446,349,†,33,74,221.0,235.0,1.0,30.0,38.0,298.0,71.0,0.0,18.0,456.0,13.73,ELSI_NCES_GA_school_data.csv
B.E.S.T ACADEMY,Georgia,B.E.S.T Academy,Fulton County,30318,1-Regular school,2-No,33.788712,-84.479439,High,6th Grade,12th Grade,237.0,229,81,0,229,104,133,†,†,237.0,0.0,0.0,0.0,9.0,225.0,0.0,0.0,3.0,237.0,6.58,ELSI_NCES_GA_school_data.csv
BARACK AND MICHELLE OBAMA ACADEMY,Georgia,Barack and Michelle Obama Academy,Fulton County,30315,1-Regular school,2-No,33.7282,-84.3827,Elementary,Prekindergarten,5th Grade,269.0,269,132,0,269,204,†,24,41,134.0,135.0,1.0,4.0,3.0,248.0,10.0,0.0,3.0,269.0,12.17,ELSI_NCES_GA_school_data.csv
BARACK H. OBAMA ELEMENTARY MAGNET SCHOOL OF TECHNOLOGY,GEORGIA,Barack H. Obama Elementary Magnet School of Technology,DeKalb County,30316,1-Regular school,2-No,33.695793,-84.301874,Elementary,Prekindergarten,5th Grade,918.0,918,410,0,918,710,†,72,136,482.0,436.0,10.0,2.0,35.0,839.0,8.0,0.0,24.0,918.0,17.49,ELSI_NCES_GA_school_data.csv
BAZOLINE E. USHER/COLLIER HEIGHTS ELEMENTARY SCHOOL,Georgia,Bazoline E. Usher/Collier Heights Elementary School,Fulton County,30318,1-Regular school,2-No,33.7725,-84.494,Elementary,Prekindergarten,5th Grade,405.0,405,186,0,405,325,†,23,57,218.0,187.0,2.0,1.0,12.0,383.0,3.0,0.0,4.0,405.0,10.18,ELSI_NCES_GA_school_data.csv
BEACON HILL MIDDLE SCHOOL,Georgia,Beacon Hill Middle School,DeKalb County,30030,1-Regular school,2-No,33.7681,-84.299,Middle,6th Grade,8th Grade,1322.0,213,184,6,219,1322,†,†,†,676.0,646.0,1.0,60.0,60.0,240.0,841.0,0.0,120.0,1322.0,12.91,ELSI_NCES_GA_school_data.csv
BEECHER HILLS ELEMENTARY SCHOOL,Georgia,Beecher Hills Elementary School,Fulton County,30311,1-Regular school,2-No,33.7359,-84.4635,Elementary,Prekindergarten,5th Grade,252.0,201,78,0,201,197,†,21,34,130.0,122.0,0.0,0.0,8.0,238.0,2.0,0.0,4.0,252.0,9.73,ELSI_NCES_GA_school_data.csv
BENJAMIN E. MAYS HIGH SCHOOL,Georgia,Benjamin E. Mays High School,Fulton County,30331,1-Regular school,2-No,33.7339,-84.5038,High,9th Grade,12th Grade,1363.0,1126,474,0,1126,†,1363,†,†,675.0,688.0,2.0,0.0,93.0,1255.0,1.0,0.0,12.0,1363.0,12.17,ELSI_NCES_GA_school_data.csv
BENTEEN ELEMENTARY SCHOOL,Georgia,Benteen Elementary School,Fulton County,30315,1-Regular school,2-No,33.71643,-84.364398,Elementary,Prekindergarten,5th Grade,306.0,259,68,0,259,234,†,37,35,164.0,142.0,2.0,0.0,90.0,140.0,50.0,1.0,23.0,306.0,9.27,ELSI_NCES_GA_school_data.csv
BOB MATHIS ELEMENTARY SCHOOL,Georgia,Bob Mathis Elementary School,DeKalb County,30034,1-Regular school,2-No,33.689684,-84.240834,Elementary,Prekindergarten,5th Grade,354.0,354,147,0,354,269,†,29,56,189.0,165.0,1.0,5.0,30.0,301.0,3.0,0.0,14.0,354.0,10.99,ELSI_NCES_GA_school_data.csv
BOLTON ACADEMY ELEMENTARY,Georgia,Bolton Academy Elementary,Fulton County,30318,1-Regular school,2-No,33.8174,-84.4553,Elementary,Prekindergarten,5th Grade,557.0,191,73,35,226,412,†,66,79,275.0,282.0,0.0,15.0,127.0,244.0,132.0,1.0,38.0,557.0,13.23,ELSI_NCES_GA_school_data.csv
BOOKER T. WASHINGTON HIGH SCHOOL,GEORGIA,Booker T. Washington High School,Fulton County,30314,1-Regular school,2-No,33.753637,-84.420896,High,9th Grade,12th Grade,859.0,838,394,0,838,†,859,†,†,408.0,451.0,2.0,0.0,24.0,813.0,5.0,1.0,14.0,859.0,14.34,ELSI_NCES_GA_school_data.csv
BRIAR VISTA ELEMENTARY SCHOOL,Georgia,Briar Vista Elementary School,DeKalb County,30324,1-Regular school,2-No,33.8101,-84.3383,Elementary,Prekindergarten,5th Grade,469.0,255,94,28,283,340,†,47,82,245.0,224.0,1.0,41.0,128.0,184.0,86.0,8.0,21.0,469.0,13.71,ELSI_NCES_GA_school_data.csv
BRIARLAKE ELEMENTARY SCHOOL,Georgia,Briarlake Elementary School,DeKalb County,30033,1-Regular school,2-No,33.8392,-84.2692,Elementary,Prekindergarten,5th Grade,376.0,148,54,15,163,296,†,23,57,185.0,191.0,1.0,22.0,73.0,89.0,159.0,1.0,31.0,376.0,10.87,ELSI_NCES_GA_school_data.csv
BROOKVIEW ELEMENTARY SCHOOL,Georgia,Brookview Elementary School,Fulton County,30344,1-Regular school,2-No,33.6464,-84.4958,Elementary,Prekindergarten,5th Grade,430.0,430,243,0,430,333,†,39,58,210.0,220.0,2.0,3.0,9.0,407.0,0.0,0.0,9.0,430.0,13.52,ELSI_NCES_GA_school_data.csv
BURGESS-PETERSON ELEMENTARY SCHOOL,Georgia,Burgess-Peterson Elementary School,DeKalb County,30316,1-Regular school,2-No,33.740471,-84.331072,Elementary,Prekindergarten,5th Grade,568.0,175,86,24,199,447,†,13,108,277.0,291.0,0.0,9.0,38.0,256.0,217.0,0.0,48.0,568.0,13.21,ELSI_NCES_GA_school_data.csv
CARVER HIGH SCHOOL,GEORGIA,Carver High School,Fulton County,30315,1-Regular school,2-No,33.719134,-84.38906,High,9th Grade,12th Grade,492.0,492,211,0,492,†,492,†,†,249.0,243.0,3.0,0.0,9.0,473.0,4.0,0.0,3.0,492.0,14.73,ELSI_NCES_GA_school_data.csv
CARVER HIGH SCHOOL EARLY COLLEGE,Georgia,Carver High School Early College,Fulton County,30315,1-Regular school,2-No,33.7191,-84.3888,High,9th Grade,12th Grade,526.0,526,201,0,526,†,526,†,†,249.0,277.0,1.0,0.0,16.0,499.0,5.0,0.0,5.0,526.0,7.74,ELSI_NCES_GA_school_data.csv
CARY REYNOLDS ELEMENTARY SCHOOL,Georgia,Cary Reynolds Elementary School,DeKalb County,30319,1-Regular school,2-No,33.915132,-84.320168,Elementary,Prekindergarten,5th Grade,256.0,232,59,8,240,203,†,22,31,140.0,116.0,1.0,19.0,224.0,7.0,3.0,0.0,2.0,256.0,9.73,ELSI_NCES_GA_school_data.csv
CASCADE ELEMENTARY SCHOOL,Georgia,Cascade Elementary School,Fulton County,30311,1-Regular school,2-No,33.7172,-84.4655,Elementary,Prekindergarten,5th Grade,293.0,290,165,0,290,225,†,20,48,152.0,141.0,1.0,2.0,7.0,279.0,0.0,0.0,4.0,293.0,8.91,ELSI_NCES_GA_school_data.csv
CEDAR GROVE MIDDLE SCHOOL,Georgia,Cedar Grove Middle School,DeKalb County,30034,1-Regular school,2-No,33.6873,-84.2957,Middle,6th Grade,8th Grade,712.0,712,360,0,712,712,†,†,†,400.0,312.0,2.0,3.0,42.0,652.0,3.0,0.0,10.0,712.0,15.48,ELSI_NCES_GA_school_data.csv
CENTENNIAL PLACE ACADEMY (CHARTER),Georgia,Centennial Place Academy (Charter),Fulton County,30313,1-Regular school,1-Yes,33.7697,-84.3954,Elementary,Kindergarten,8th Grade,715.0,531,298,0,531,644,†,†,71,349.0,366.0,6.0,10.0,20.0,640.0,11.0,2.0,26.0,715.0,11.17,ELSI_NCES_GA_school_data.csv
CHAPEL HILL ELEMENTARY SCHOOL,Georgia,Chapel Hill Elementary School,DeKalb County,30034,1-Regular school,2-No,33.679,-84.2187,Elementary,Prekindergarten,5th Grade,525.0,525,261,0,525,433,†,28,64,265.0,260.0,3.0,0.0,32.0,471.0,7.0,0.0,12.0,525.0,13.74,ELSI_NCES_GA_school_data.csv
CHAPEL HILL MIDDLE SCHOOL,Georgia,Chapel Hill Middle School,DeKalb County,30034,1-Regular school,2-No,33.68,-84.216,Middle,6th Grade,8th Grade,619.0,576,254,0,576,619,†,†,†,325.0,294.0,1.0,2.0,31.0,564.0,4.0,1.0,16.0,619.0,13.91,ELSI_NCES_GA_school_data.csv
CHARLES DREW CHARTER JA/SR ACADEMY,GEORGIA,Charles Drew Charter JA/SR Academy,DeKalb County,30317,1-Regular school,1-Yes,33.7465,-84.3113,High,6th Grade,12th Grade,916.0,302,127,37,339,440,476,†,†,442.0,474.0,3.0,8.0,32.0,665.0,167.0,4.0,37.0,916.0,12.30,ELSI_NCES_GA_school_data.csv
CHARLES L. GIDEONS ELEMENTARY SCHOOL,Georgia,Charles L. Gideons Elementary School,Fulton County,30310,1-Regular school,2-No,33.730624,-84.405605,Elementary,Prekindergarten,5th Grade,295.0,295,128,0,295,232,†,24,39,158.0,137.0,3.0,1.0,9.0,262.0,13.0,0.0,7.0,295.0,9.16,ELSI_NCES_GA_school_data.csv
CHARLES R. DREW CHARTER SCHOOL,Georgia,Charles R. Drew Charter School,DeKalb County,30317,1-Regular school,1-Yes,33.745811,-84.315065,Elementary,Prekindergarten,5th Grade,959.0,280,117,31,311,738,†,84,137,472.0,487.0,1.0,6.0,40.0,545.0,316.0,1.0,50.0,959.0,10.81,ELSI_NCES_GA_school_data.csv
CLAIREMONT ELEMENTARY SCHOOL,Georgia,Clairemont Elementary School,DeKalb County,30030,1-Regular school,2-No,33.7826,-84.2963,Elementary,Prekindergarten,2nd Grade,191.0,71,56,1,72,123,†,24,44,84.0,107.0,0.0,16.0,14.0,76.0,69.0,0.0,16.0,191.0,9.14,ELSI_NCES_GA_school_data.csv
CLEVELAND AVENUE ELEMENTARY SCHOOL,Georgia,Cleveland Avenue Elementary School,Fulton County,30315,1-Regular school,2-No,33.6828,-84.3922,Elementary,Prekindergarten,5th Grade,251.0,238,105,0,238,197,†,16,38,139.0,112.0,0.0,0.0,21.0,224.0,3.0,0.0,3.0,251.0,8.07,ELSI_NCES_GA_school_data.csv
COBB HORIZON HIGH SCHOOL,GEORGIA,Cobb Horizon High School,Cobb County,30339,1-Regular school,2-No,33.910176,-84.48201,High,6th Grade,12th Grade,1027.0,214,83,27,241,209,818,†,†,445.0,582.0,0.0,33.0,292.0,417.0,248.0,0.0,37.0,1027.0,12.95,ELSI_NCES_GA_school_data.csv
COLLEGE PARK ELEMENTARY,GEORGIA,College Park Elementary,Fulton County,30337,1-Regular school,2-No,33.65551,-84.456593,Elementary,Prekindergarten,5th Grade,507.0,507,280,0,507,384,†,41,82,246.0,261.0,2.0,4.0,37.0,443.0,0.0,0.0,21.0,507.0,11.55,ELSI_NCES_GA_school_data.csv
COLUMBIA ELEMENTARY SCHOOL,Georgia,Columbia Elementary School,DeKalb County,30032,1-Regular school,2-No,33.72,-84.2576,Elementary,Prekindergarten,5th Grade,388.0,388,210,0,388,296,†,36,56,200.0,188.0,3.0,1.0,23.0,347.0,5.0,0.0,9.0,388.0,11.51,ELSI_NCES_GA_school_data.csv
COLUMBIA HIGH SCHOOL,Georgia,Columbia High School,DeKalb County,30032,1-Regular school,2-No,33.7281,-84.2509,High,9th Grade,12th Grade,909.0,909,416,0,909,†,909,†,†,445.0,464.0,1.0,5.0,45.0,844.0,5.0,0.0,9.0,909.0,13.57,ELSI_NCES_GA_school_data.csv
COLUMBIA MIDDLE SCHOOL,Georgia,Columbia Middle School,Columbia County,30034,1-Regular school,2-No,33.495782,-82.231981,Middle,6th Grade,8th Grade,939.0,351,119,79,430,939,†,†,†,461.0,478.0,1.0,30.0,148.0,300.0,385.0,3.0,72.0,939.0,15.00,ELSI_NCES_GA_school_data.csv
CONLEY HILLS ELEMENTARY SCHOOL,Georgia,Conley Hills Elementary School,Fulton County,30344,1-Regular school,2-No,33.685,-84.4571,Elementary,Prekindergarten,5th Grade,399.0,399,197,0,399,300,†,41,58,217.0,182.0,1.0,0.0,122.0,258.0,6.0,0.0,12.0,399.0,10.99,ELSI_NCES_GA_school_data.csv
CONTINENTAL COLONY ELEMENTARY SCHOOL,Georgia,Continental Colony Elementary School,Fulton County,30331,1-Regular school,2-No,33.6787,-84.4917,Elementary,Prekindergarten,5th Grade,351.0,351,145,0,351,264,†,37,50,162.0,189.0,1.0,0.0,11.0,333.0,1.0,0.0,5.0,351.0,10.45,ELSI_NCES_GA_school_data.csv
CORALWOOD EDUCATION CENTER,Georgia,Coralwood Education Center,DeKalb County,30033,1-Regular school,2-No,33.8279,-84.2878,Elementary,Prekindergarten,Kindergarten,216.0,91,12,11,102,†,†,152,64,135.0,81.0,2.0,24.0,32.0,63.0,76.0,0.0,19.0,216.0,7.91,ELSI_NCES_GA_school_data.csv
CORETTA SCOTT KING YOUNG WOMEN'S LEADERSHIP ACADEMY,Georgia,Coretta Scott King Young Women's Leadership Academy,Fulton County,30318,1-Regular school,2-No,33.7893,-84.4793,High,6th Grade,12th Grade,339.0,322,119,0,322,145,194,†,†,0.0,339.0,0.0,2.0,16.0,315.0,1.0,0.0,5.0,339.0,6.86,ELSI_NCES_GA_school_data.csv
CRAWFORD LONG MIDDLE SCHOOL,Georgia,Crawford Long Middle School,Fulton County,30354,1-Regular school,2-No,33.6665,-84.3944,Middle,6th Grade,8th Grade,649.0,649,302,0,649,649,†,†,†,346.0,303.0,1.0,0.0,67.0,569.0,1.0,1.0,10.0,649.0,10.37,ELSI_NCES_GA_school_data.csv
CROSS KEYS HIGH SCHOOL,Georgia,Cross Keys High School,DeKalb County,30319,1-Regular school,2-No,33.8439,-84.338,High,9th Grade,12th Grade,1768.0,1356,530,77,1433,†,1768,†,†,904.0,864.0,7.0,74.0,1606.0,62.0,11.0,0.0,8.0,1768.0,14.86,ELSI_NCES_GA_school_data.csv
D. M. THERRELL HIGH SCHOOL,GEORGIA,D. M. Therrell High School,Fulton County,30311,1-Regular school,2-No,33.699023,-84.489856,High,9th Grade,12th Grade,1005.0,794,332,0,794,†,1005,†,†,538.0,467.0,4.0,0.0,34.0,957.0,3.0,0.0,7.0,1005.0,15.61,ELSI_NCES_GA_school_data.csv
DAVID T HOWARD MIDDLE SCHOOL,Georgia,David T Howard Middle School,Fulton County,30312,1-Regular school,2-No,33.758849,-84.369043,Middle,6th Grade,8th Grade,1056.0,255,136,27,282,1056,†,†,†,529.0,527.0,3.0,27.0,114.0,332.0,491.0,2.0,87.0,1056.0,13.32,ELSI_NCES_GA_school_data.csv
DECATUR HIGH SCHOOL,Georgia,Decatur High School,DeKalb County,30030,1-Regular school,2-No,33.770879,-84.296993,High,9th Grade,12th Grade,1834.0,324,280,6,330,†,1834,†,†,898.0,936.0,4.0,66.0,115.0,442.0,1076.0,1.0,130.0,1834.0,14.01,ELSI_NCES_GA_school_data.csv
DEERWOOD ACADEMY,Georgia,Deerwood Academy,Fulton County,30331,1-Regular school,2-No,33.6707,-84.5133,Elementary,Prekindergarten,5th Grade,475.0,348,163,0,348,368,†,45,62,240.0,235.0,0.0,1.0,22.0,444.0,2.0,0.0,6.0,475.0,12.06,ELSI_NCES_GA_school_data.csv
DEKALB BRILLIANCE ACADEMY,GEORGIA,DeKalb Brilliance Academy,DeKalb County,30037,1-Regular school,1-Yes,33.704011,-84.215201,Elementary,Kindergarten,8th Grade,255.0,214,82,0,214,177,†,†,78,139.0,116.0,1.0,2.0,7.0,236.0,7.0,0.0,2.0,255.0,12.75,ELSI_NCES_GA_school_data.csv
DEKALB ELEMENTARY SCHOOL OF THE ARTS,Georgia,DeKalb Elementary School of the Arts,DeKalb County,30002,1-Regular school,2-No,33.77892,-84.260847,Elementary,Kindergarten,8th Grade,591.0,329,132,53,382,549,†,†,42,180.0,411.0,0.0,1.0,20.0,499.0,43.0,0.0,28.0,591.0,14.85,ELSI_NCES_GA_school_data.csv
DEKALB PATH ACADEMY CHARTER SCHOOL,Georgia,DeKalb PATH Academy Charter School,DeKalb County,30319,1-Regular school,1-Yes,33.8758,-84.3379,Middle,5th Grade,8th Grade,368.0,335,131,25,360,368,†,†,†,176.0,192.0,0.0,18.0,320.0,28.0,2.0,0.0,0.0,368.0,21.65,ELSI_NCES_GA_school_data.csv
DEKALB PREPARATORY ACADEMY CHARTER,Georgia,DeKalb Preparatory Academy Charter,DeKalb County,30032,1-Regular school,1-Yes,33.7518,-84.2329,Elementary,Kindergarten,8th Grade,562.0,409,221,58,467,502,†,†,60,303.0,259.0,0.0,2.0,21.0,531.0,0.0,0.0,8.0,562.0,16.53,ELSI_NCES_GA_school_data.csv
DEKALB REGIONAL YOUTH DETENTION CENTER,Georgia,DeKalb Regional Youth Detention Center,DeKalb County,30034,4-Alternative Education School,2-No,33.691519,-84.275848,High,5th Grade,12th Grade,7.0,‡,‡,‡,‡,1,6,†,†,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,1.75,ELSI_NCES_GA_school_data.csv
DEKALB SCHOOL OF THE ARTS,Georgia,DeKalb School of the Arts,DeKalb County,30002,1-Regular school,2-No,33.7595,-84.2673,High,8th Grade,12th Grade,302.0,86,29,17,103,0,302,†,†,62.0,240.0,1.0,6.0,16.0,169.0,91.0,0.0,19.0,302.0,12.80,ELSI_NCES_GA_school_data.csv
